"","V1","V2","V3","V4"
"1",0,148.714049952476,305.091357432069,16.8360491607491
"2",0,148.714049952476,10.8748535312043,311.052553061614
"3",0,324.775845958593,129.029561425952,16.8360491607491
"4",0,324.775845958593,11.8818127935119,133.983797793189
"5",0,3.76587702645338,155.823026457227,311.052553061614
"6",0,3.76587702645338,332.891781725652,133.983797793189
"7",148.714049952476,0,305.091357432069,16.8360491607491
"8",148.714049952476,0,10.8748535312043,311.052553061614
"9",148.714049952476,305.091357432069,0,16.8360491607491
"10",148.714049952476,305.091357432069,16.8360491607491,0
"11",148.714049952476,10.8748535312043,0,311.052553061614
"12",148.714049952476,10.8748535312043,311.052553061614,0
"13",324.775845958593,0,129.029561425952,16.8360491607491
"14",324.775845958593,0,11.8818127935119,133.983797793189
"15",324.775845958593,129.029561425952,0,16.8360491607491
"16",324.775845958593,129.029561425952,16.8360491607491,0
"17",324.775845958593,11.8818127935119,0,133.983797793189
"18",324.775845958593,11.8818127935119,133.983797793189,0
"19",3.76587702645338,0,155.823026457227,311.052553061614
"20",3.76587702645338,0,332.891781725652,133.983797793189
"21",3.76587702645338,155.823026457227,0,311.052553061614
"22",3.76587702645338,155.823026457227,311.052553061614,0
"23",3.76587702645338,332.891781725652,0,133.983797793189
"24",3.76587702645338,332.891781725652,133.983797793189,0
